Kapoor ::: Sunil K.	M	INDIAN
Satyanarayana ::: Srinath	M	INDIAN
Morré ::: Servaas A.	M	ITALIAN-DUTCH
Cronin ::: Neil J.	M	ENGLISH
Manhica ::: Hélio	-	HISPANIC
Cheron ::: Guy	M	FRENCH
Li ::: Zheng	-	CHINESE
Glickman ::: Michael S.	M	ENGLISH
Régnier ::: Vinciane	F	FRENCH
Theuring ::: Stefanie	F	GERMAN
Huang ::: Jinhai	M	CHINESE
Dukers-Muijrers ::: Nicole H. T. M.	F	DUTCH
Werbeloff ::: Nomi	F	ISRAELI
Schwaderer ::: Andrew L.	M	GERMAN-ENGLISH
Wang ::: Hsin-Shih	-	CHINESE
Lee ::: Wei-Chen	-	CHINESE
Chen ::: Yung-Chang	-	CHINESE
Song ::: Chang-Seon	-	KOREAN
Ayanu ::: Yohannes	M	GERMAN-ROMANIAN
Nantongo ::: Judith Ssali	F	HISPANIC-ENGLISH
Finger ::: Jonas D.	M	GERMAN
Wallström ::: Peter	M	NORDIC
Lee ::: Young	-	KOREAN
Yoon ::: Tae-Jin	M	KOREAN
Stastny ::: Petr	M	SLAV
Shapiro ::: Erik M.	M	ENGLISH
Ma ::: Xiaoli	-	CHINESE
Wang ::: Yunshan	M	CHINESE
Chrostek ::: Ewa	F	SLAV
Ueda ::: Kazutaka	M	JAPANESE
Rodríguez-Sotres ::: Rogelio	M	HISPANIC
Chen ::: Siying	-	CHINESE
Fontanesi ::: Luca	M	ITALIAN
Phang ::: Siew-Moi	F	CHINESE
Barragan ::: Antonio	M	HISPANIC
Javan ::: Mohammad	M	ARAB
Ledesma ::: Maria Dolores	F	HISPANIC
Pedrotti ::: Maria Luiza	F	HISPANIC
Martínez Pérez ::: Guillermo	M	HISPANIC
Shen ::: Huahao	-	CHINESE
Montiel ::: Carmen	F	HISPANIC
Börsch-Haubold ::: Angelika G.	F	GERMAN
Benayhau ::: Yehuda	M	ISRAELI-CHINESE
Campana ::: Michael G.	M	ITALIAN-GREEK
Song ::: Yan	M	CHINESE
Cronin ::: Katherine A.	F	ENGLISH
Dada ::: Rima	F	INDIAN
Saluja ::: Daman	-	INDIAN
